,date,close
424,04/10/2016,1661.25
425,05/10/2016,1662.92
426,06/10/2016,1666.73
427,07/10/2016,1665.38
428,10/10/2016,1665.32
429,11/10/2016,1668.72
430,12/10/2016,1667.03
431,13/10/2016,1665.02
432,14/10/2016,1658.97
433,17/10/2016,1653.71
434,18/10/2016,1667.57
435,19/10/2016,1668.27
436,20/10/2016,1667.18
437,21/10/2016,1669.98
438,24/10/2016,1677.76
439,25/10/2016,1677.43
440,26/10/2016,1673.92
441,27/10/2016,1669.03
442,28/10/2016,1670.27
443,31/10/2016,1672.46
444,01/11/2016,1670.93
445,02/11/2016,1659.6
446,03/11/2016,1648.08
447,04/11/2016,1648.24
448,07/11/2016,1650.59
449,08/11/2016,1663.82
450,09/11/2016,1647.62
451,10/11/2016,1652.74
452,11/11/2016,1634.19
453,14/11/2016,1616.64
454,15/11/2016,1630.56
455,16/11/2016,1627.63
456,17/11/2016,1626.77
457,18/11/2016,1623.8
458,21/11/2016,1627.28
459,22/11/2016,1629.32
460,23/11/2016,1630.38
461,24/11/2016,1624.21
462,25/11/2016,1627.26
463,28/11/2016,1628.66
464,29/11/2016,1626.93
465,30/11/2016,1619.12
466,01/12/2016,1626.44
467,02/12/2016,1628.96
468,05/12/2016,1624.97
469,06/12/2016,1629.73
470,07/12/2016,1632.47
471,08/12/2016,1643.75
472,09/12/2016,1641.42
473,13/12/2016,1645.28
474,14/12/2016,1643.29
475,15/12/2016,1636.99
476,16/12/2016,1637.79
477,19/12/2016,1634.3
478,20/12/2016,1634.52
479,21/12/2016,1629.59
480,22/12/2016,1623.2
481,23/12/2016,1617.15
482,27/12/2016,1619.68
483,28/12/2016,1630.3
484,29/12/2016,1637.93
485,30/12/2016,1641.73
486,03/01/2017,1635.53
487,04/01/2017,1647.47
488,05/01/2017,1659.82
489,06/01/2017,1675.49
490,09/01/2017,1667.9
491,10/01/2017,1672.05
492,11/01/2017,1675.21
493,12/01/2017,1677.76
494,13/01/2017,1672.5
495,16/01/2017,1658.84
496,17/01/2017,1663.03
497,18/01/2017,1665.02
498,19/01/2017,1666.51
499,20/01/2017,1664.89
500,23/01/2017,1671.31
501,24/01/2017,1680.69
502,25/01/2017,1683.93
503,26/01/2017,1692.22
504,27/01/2017,1686.36
505,31/01/2017,1671.54
506,02/02/2017,1673.48
507,03/02/2017,1685.01
508,06/02/2017,1691.24
509,07/02/2017,1688.84
510,08/02/2017,1688.5
511,10/02/2017,1698.94
512,13/02/2017,1710.24
513,14/02/2017,1708.9
514,15/02/2017,1709.79
515,16/02/2017,1707.59
516,17/02/2017,1707.68
517,20/02/2017,1712.58
518,21/02/2017,1706.55
519,22/02/2017,1708.08
520,23/02/2017,1704.48
521,24/02/2017,1698.35
522,27/02/2017,1693.84
523,28/02/2017,1693.77
524,01/03/2017,1697.69
525,02/03/2017,1715.67
526,03/03/2017,1708.38
527,06/03/2017,1727.36
528,07/03/2017,1728.66
529,08/03/2017,1725.54
530,09/03/2017,1717.42
531,10/03/2017,1717.58
532,13/03/2017,1721.92
533,14/03/2017,1722.47
534,15/03/2017,1717.36
535,16/03/2017,1737.14
536,17/03/2017,1745.2
537,20/03/2017,1749.41
538,21/03/2017,1754.67
539,22/03/2017,1748.3
540,23/03/2017,1747
541,24/03/2017,1745.75
542,27/03/2017,1744.95
543,28/03/2017,1754.42
544,29/03/2017,1750.41
545,30/03/2017,1749.25
546,31/03/2017,1740.09
547,03/04/2017,1745.49
548,04/04/2017,1747.19
549,05/04/2017,1744.67
550,06/04/2017,1739.56
551,07/04/2017,1741.72
552,10/04/2017,1739.52
553,11/04/2017,1735.84
554,12/04/2017,1744.08
555,13/04/2017,1738.18
556,14/04/2017,1730.99
